ID,RA,Dec,mag_r,True_Class,Prediction_Elliptical,Prediction_Spiral,predBin_Elliptical,predBin_Spiral,Train
SPLUS.STRIPE82-0006.22511.griz,2.0546,0.7918,16.11,Spiral,0.00012645125,0.97127366,0,1,0
SPLUS.STRIPE82-0007.03620.griz,4.0636,-1.2039,16.56,Spiral,0.0016021729,0.7845394,0,1,0
SPLUS.STRIPE82-0007.04186.griz,4.0183,-1.1887,16.69,Elliptical,0.8715905,0.5987079,0,0,0
SPLUS.STRIPE82-0007.05333.griz,4.228,-1.1328,16.4,Elliptical,0.99600565,0.0045583844,1,0,0
SPLUS.STRIPE82-0007.06521.griz,3.9644,-1.0761,16.68,Spiral,0.35585892,0.8017998,0,1,0
SPLUS.STRIPE82-0007.06603.griz,4.8747,-1.0692,16.36,Elliptical,0.9983418,0.0053636134,1,0,0
SPLUS.STRIPE82-0007.06724.griz,4.226,-1.0625,16.81,Elliptical,0.8875805,0.29325518,1,0,0
SPLUS.STRIPE82-0007.07844.griz,3.9309,-1.015,16.46,Spiral,0.00012719631,0.9992018,0,1,0
SPLUS.STRIPE82-0007.07914.griz,3.5112,-1.0068,16.8,Spiral,0.0009917021,0.87267447,0,1,0
SPLUS.STRIPE82-0007.08311.griz,4.7215,-0.9913,16.93,Spiral,0.00089383125,0.9246883,0,1,0
SPLUS.STRIPE82-0007.09196.griz,4.2866,-0.958,14.77,Spiral,0.0003041625,0.44473797,0,0,0
SPLUS.STRIPE82-0007.10994.griz,3.6653,-0.8746,16.32,Elliptical,0.99581933,0.007560849,1,0,0
SPLUS.STRIPE82-0007.11049.griz,4.4067,-0.8783,16.86,Elliptical,0.9989473,0.00029286742,1,0,0
SPLUS.STRIPE82-0007.11412.griz,4.7919,-0.8557,16.93,Elliptical,0.99994874,2.5391579e-05,1,0,0
SPLUS.STRIPE82-0007.13209.griz,4.5364,-0.7838,15.6,Spiral,0.0012765527,0.9691552,0,1,0
SPLUS.STRIPE82-0007.13344.griz,3.5716,-0.7711,16.38,Spiral,0.0003296435,0.9203951,0,1,0
SPLUS.STRIPE82-0007.13459.griz,4.8062,-0.7668,16.12,Spiral,0.0012744963,0.9100654,0,1,0
